Distance_(microns)	Gray_Value
0.00000	153.000
0.05345	98.361
0.10691	145.082
0.16036	146.328
0.21382	211.120
0.26727	181.609
0.32073	217.699
0.37418	168.495
0.42764	183.354
0.48109	208.245
0.53455	234.447
0.58800	215.561
0.64146	248.818
0.69491	194.829
0.74837	133.229
0.80182	114.004
0.85528	236.526
0.90873	144.251
0.96219	163.825
1.01564	189.098
1.06910	136.009
1.12255	143.506
1.17601	220.175
1.22946	235.624
1.28292	270.570
1.33637	134.609
1.38983	268.430
1.44328	281.846
1.49674	380.544
1.55019	363.069
1.60365	454.731
1.65710	648.624
1.71056	720.214
1.76401	846.768
1.81747	766.008
1.87092	724.261
1.92438	759.546
1.97783	971.344
2.03129	715.623
2.08474	568.997
2.13820	746.828
2.19165	653.281
2.24511	356.208
2.29856	513.671
2.35202	443.412
2.40547	235.728
2.45892	242.684
2.51238	327.469
2.56583	177.000
2.61929	181.751
2.67274	245.088
2.72620	257.768
2.77965	257.671
2.83311	244.597
2.88656	259.322
2.94002	245.785
2.99347	243.080
3.04693	256.090
3.10038	266.598
3.15384	209.293
3.20729	167.995
3.26075	93.202
3.31420	114.942
3.36766	114.175
3.42111	128.692
3.47457	116.242
3.52802	205.226
3.58148	252.351
3.63493	171.755
3.68839	219.587
3.74184	235.068
3.79530	202.785
3.84875	131.227
3.90221	153.816
3.95566	146.920
4.00912	108.880
4.06257	140.412
4.11603	196.500
4.16948	277.955
4.22294	332.800
4.27639	399.549
4.32985	279.498
4.38330	320.675
4.43676	321.503
4.49021	285.693
4.54367	273.746
4.59712	338.549
4.65058	239.574
4.70403	250.798
4.75748	372.727
4.81094	275.379
4.86439	307.006
4.91785	616.164
4.97130	410.531
5.02476	361.018
5.07821	471.953
5.13167	452.067
5.18512	437.949
5.23858	596.664
5.29203	798.920
5.34549	670.730
5.39894	619.221
5.45240	761.126
5.50585	687.477
5.55931	604.615
5.61276	662.686
5.66622	660.942
5.71967	627.200
5.77313	629.800
5.82658	479.195
5.88004	476.187
5.93349	399.807
5.98695	445.322
6.04040	210.079
6.09386	253.885
6.14731	192.130
6.20077	220.598
6.25422	207.887
6.30768	113.177
6.36113	341.254
6.41459	216.062
6.46804	139.564
6.52150	126.204
6.57495	203.702
6.62841	162.015
6.68186	147.953
6.73532	116.863
6.78877	131.775
6.84223	181.756
6.89568	132.597
6.94914	139.403
7.00259	187.506
7.05605	193.960
7.10950	176.372
7.16295	169.341
7.21641	246.789
7.26986	239.314
7.32332	305.860
7.37677	218.892
7.43023	504.703
7.48368	188.741
7.53714	269.844
7.59059	324.667
7.64405	202.265
7.69750	198.061
7.75096	378.334
7.80441	370.157
7.85787	379.993
7.91132	472.735
7.96478	444.000
