Distance_(microns)	Gray_Value
0.00000	0
0.00365	118.289
0.00730	61.335
0.01095	187.541
0.01459	131.279
0.01824	121.902
0.02189	268.476
0.02554	167.596
0.02919	6.149
0.03284	58.607
0.03648	192.230
0.04013	104.416
0.04378	65.409
0.04743	134.622
0.05108	79.628
0.05473	0
0.05838	0
0.06202	807
0.06567	7.686
0.06932	0
0.07297	0
0.07662	0
0.08027	37.893
0.08391	136.390
0.08756	0
0.09121	0
0.09486	0
0.09851	0
0.10216	18.447
0.10581	51.497
0.10945	0
0.11310	0
0.11675	4.612
0.12040	188.485
0.12405	62.828
0.12770	366.611
0.13134	13.551
0.13499	61.873
0.13864	215.672
0.14229	339.942
0.14594	222.543
0.14959	170.209
0.15324	32.128
0.15688	260.213
0.16053	126.590
0.16418	233.235
0.16783	141.962
0.17148	107.913
0.17513	121.902
0.17878	159.179
0.18242	27.055
0.18607	201.837
0.18972	6.610
0.19337	62.411
0.19702	0
0.20067	137.197
0.20431	266.016
0.20796	154.721
0.21161	107.221
0.21526	95.730
0.21891	0
0.22256	0
0.22621	0
0.22985	28.515
0.23350	0
0.23715	97.652
0.24080	26.901
0.24445	0
0.24810	56.262
0.25174	218.016
0.25539	84.393
0.25904	404.380
0.26269	54.205
0.26634	170.670
0.26999	205.296
0.27364	166.366
0.27728	0
0.28093	45.732
0.28458	157.796
0.28823	244.841
0.29188	71.088
0.29553	170.209
0.29917	259.180
0.30282	234.066
0.30647	155.839
0.31012	194.291
0.31377	241.190
0.31742	287.394
0.32107	482.256
0.32471	145.126
0.32836	0
0.33201	0
0.33566	0
0.33931	128.934
0.34296	211.598
0.34660	17.294
0.35025	41.505
0.35390	0
0.35755	45.963
0.36120	26.210
0.36485	0
0.36850	95.116
0.37214	69.406
0.37579	35.164
0.37944	157.719
0.38309	44.519
0.38674	277.030
0.39039	1.309
0.39403	239.673
0.39768	21.482
0.40133	42.427
0.40498	181.584
0.40863	79.936
0.41228	7.456
0.41593	262.557
0.41957	56.262
0.42322	531.909
0.42687	204.122
0.43052	20.291
0.43417	0
0.43782	151.835
0.44147	254.478
0.44511	286.000
0.44876	166.496
0.45241	61.335
0.45606	75.324
0.45971	248.492
0.46336	164.098
0.46700	17.524
0.47065	0
0.47430	12.319
0.47795	1.922
0.48160	0
0.48525	210.984
0.48890	215.903
0.49254	275.624
0.49619	173.475
0.49984	79.705
0.50349	286.000
0.50714	285.193
0.51079	176.473
0.51443	418.267
0.51808	272.128
0.52173	328.330
0.52538	769.492
0.52903	562.579
0.53268	240.037
0.53633	260.482
0.53997	45.502
0.54362	116.637
0.54727	0
0.55092	279.193
0.55457	127.128
0.55822	203.682
0.56186	192.230
0.56551	165.145
0.56916	59.286
0.57281	0
0.57646	248.492
0.58011	420.161
0.58376	128.600
0.58740	180.124
0.59105	168.787
0.59470	31.398
0.59835	51.574
0.60200	244.841
0.60565	157.796
0.60929	57.513
0.61294	179.992
0.61659	115.023
0.62024	186.283
0.62389	96.345
0.62754	189.096
0.63119	488.921
0.63483	481.678
0.63848	291.592
0.64213	56.262
0.64578	196.918
0.64943	306.054
0.65308	369.146
0.65672	357.227
0.66037	74.378
0.66402	491.691
0.66767	143.000
0.67132	293.254
0.67497	65.639
0.67862	187.541
0.68226	326.114
0.68591	128.819
0.68956	348.282
0.69321	408.328
0.69686	635.629
0.70051	579.633
0.70415	530.887
0.70780	102.166
0.71145	513.203
0.71510	762.668
0.71875	682.976
0.72240	406.450
0.72605	76.346
0.72969	413.033
0.73334	547.123
0.73699	376.397
0.74064	259.447
0.74429	286.000
0.74794	362.155
0.75159	683.718
0.75523	717.209
0.75888	421.627
0.76253	371.041
0.76618	569.761
0.76983	573.000
0.77348	202.182
0.77712	367.740
0.78077	415.655
0.78442	488.305
0.78807	322.315
0.79172	1433.000
0.79537	1433.000
0.79902	887.060
0.80266	211.475
0.80631	188.901
0.80996	146.113
0.81361	871.121
0.81726	1147.745
0.82091	1397.570
0.82455	609.675
0.82820	1616.673
0.83185	687.074
0.83550	986.311
0.83915	972.525
0.84280	718.852
0.84645	661.471
0.85009	685.746
0.85374	1301.954
0.85739	1107.627
0.86104	1436.254
0.86469	1384.720
0.86834	1206.223
0.87198	1308.435
0.87563	1474.851
0.87928	1226.367
0.88293	1355.436
0.88658	1104.096
0.89023	573.000
0.89388	633.170
0.89752	2191.057
0.90117	1293.536
0.90482	1223.505
0.90847	1598.532
0.91212	1551.427
0.91577	1299.962
0.91941	1712.205
0.92306	1107.627
0.92671	724.699
0.93036	1158.168
0.93401	2026.569
0.93766	2278.868
0.94131	2137.416
0.94495	1718.571
0.94860	1900.704
0.95225	415.081
0.95590	1469.765
0.95955	1676.997
0.96320	1084.615
0.96684	1019.436
0.97049	890.025
0.97414	1760.642
0.97779	1946.006
0.98144	2031.607
0.98509	2025.281
0.98874	1313.896
0.99238	1225.675
0.99603	812.546
0.99968	1058.584
1.00333	1498.599
1.00698	1263.858
1.01063	1290.575
1.01428	1571.909
1.01792	505.187
1.02157	1638.448
1.02522	1688.951
1.02887	946.010
1.03252	786.958
1.03617	1284.196
1.03981	1285.406
1.04346	1094.426
1.04711	818.697
1.05076	731.347
1.05441	628.259
1.05806	822.380
1.06171	443.805
1.06535	711.166
1.06900	731.664
1.07265	609.006
1.07630	993.565
1.07995	901.180
1.08360	1970.754
1.08724	1416.266
1.09089	873.688
1.09454	566.058
1.09819	1084.355
1.10184	1302.931
1.10549	492.115
1.10914	1364.619
1.11278	859.500
1.11643	804.260
1.12008	474.868
1.12373	455.686
1.12738	889.234
1.13103	876.335
1.13467	524.717
1.13832	760.040
1.14197	273.722
1.14562	400.052
1.14927	133.796
1.15292	258.945
1.15657	274.509
1.16021	472.283
1.16386	391.808
1.16751	452.511
1.17116	53.922
1.17481	398.945
1.17846	279.027
1.18210	510.217
1.18575	102.427
1.18940	305.980
1.19305	96.615
1.19670	70.328
1.20035	304.605
1.20400	674.066
1.20764	209.430
1.21129	716.020
1.21494	374.488
1.21859	202.182
1.22224	208.061
1.22589	129.203
1.22953	190.264
1.23318	423.937
1.23683	110.180
1.24048	243.803
1.24413	274.010
1.24778	116.291
1.25143	273.257
1.25507	184.138
1.25872	308.175
1.26237	447.818
1.26602	211.944
1.26967	176.473
1.27332	269.590
1.27696	147.727
1.28061	488.975
1.28426	319.290
1.28791	172.203
1.29156	239.113
1.29521	133.918
1.29886	300.626
1.30250	128.505
1.30615	394.206
1.30980	30.490
1.31345	433.398
1.31710	325.447
1.32075	126.919
1.32440	700.405
1.32804	224.665
1.33169	134.891
1.33534	0
1.33899	403.877
1.34264	84.408
1.34629	0
1.34993	0
1.35358	136.083
1.35723	127.820
1.36088	167.596
1.36453	23.443
1.36818	278.544
1.37183	206.064
1.37547	345.004
1.37912	564.067
1.38277	537.094
1.38642	173.475
1.39007	0
1.39372	22.290
1.39736	269.590
1.40101	168.787
1.40466	447.089
1.40831	445.143
1.41196	171.208
1.41561	332.802
1.41926	353.040
1.42290	230.660
1.42655	194.574
1.43020	239.807
1.43385	10.837
1.43750	0
1.44115	0
1.44479	7.311
1.44844	281.043
1.45209	196.841
1.45574	35.471
1.45939	29.592
1.46304	198.648
1.46669	151.373
1.47033	173.975
1.47398	25.364
1.47763	0
1.48128	73.146
1.48493	44.541
1.48858	229.850
1.49222	487.150
1.49587	12.473
1.49952	245.015
1.50317	223.880
1.50682	4.612
1.51047	204.821
1.51412	30.475
1.51776	76.092
1.52141	42.197
1.52506	197.764
1.52871	205.719
1.53236	43.350
1.53601	0
1.53965	26.901
1.54330	146.074
1.54695	107.221
1.55060	95.730
1.55425	31.744
1.55790	143.000
1.56155	9.377
1.56519	0
1.56884	169.094
1.57249	432.585
1.57614	211.078
1.57979	151.364
1.58344	351.869
1.58709	330.759
1.59073	211.007
1.59438	530.656
1.59803	302.746
1.60168	170.670
1.60533	227.032
1.60898	340.423
1.61262	40.506
1.61627	233.235
1.61992	21.933
1.62357	291.426
1.62722	178.164
1.63087	13.143
1.63452	0
1.63816	0
1.64181	90.085
1.64546	50.152
1.64911	203.682
1.65276	6.347
1.65641	228.277
1.66005	156.451
1.66370	89.159
1.66735	77.092
1.67100	127.128
1.67465	147.842
1.67830	262.557
1.68195	275.163
1.68559	46.193
1.68924	260.482
1.69289	286.000
1.69654	175.911
1.70019	206.295
1.70384	168.787
1.70748	29.053
1.71113	57.747
1.71478	33.281
1.71843	770.787
1.72208	306.140
1.72573	81.396
1.72938	79.628
1.73302	155.411
1.73667	107.836
1.74032	415.578
1.74397	681.261
1.74762	58.607
1.75127	12.319
1.75491	628.460
1.75856	549.611
1.76221	137.225
1.76586	283.308
1.76951	493.772
1.77316	426.991
1.77681	17.486
1.78045	286.000
