Distance_(microns)	Gray_Value
0.00000	213.000
0.00425	93.711
0.00850	78.959
0.01275	146.937
0.01700	4.484
0.02125	103.310
0.02550	107.000
0.02975	5.166
0.03400	201.816
0.03825	259.541
0.04250	83.924
0.04675	48.179
0.05100	144.787
0.05525	177.699
0.05950	34.872
0.06375	93.005
0.06800	97.809
0.07225	125.441
0.07650	78.110
0.08075	7.155
0.08500	34.988
0.08925	95.351
0.09350	16.234
0.09775	88.786
0.10201	91.503
0.10626	13.359
0.11051	246.269
0.11476	61.098
0.11901	0
0.12326	68.480
0.12751	26.464
0.13176	84.124
0.13601	23.614
0.14026	82.648
0.14451	158.554
0.14876	113.134
0.15301	26.566
0.15726	0
0.16151	155.561
0.16576	59.599
0.17001	65.905
0.17426	47.569
0.17851	53.869
0.18276	67.890
0.18701	42.332
0.19126	3.435
0.19551	0
0.19976	0
0.20401	20.733
0.20826	15.212
0.21251	0
0.21676	22.006
0.22101	7.145
0.22526	7.456
0.22951	3.023
0.23376	104.854
0.23801	120.139
0.24226	107.000
0.24651	42.800
0.25076	46.393
0.25501	46.820
0.25926	738
0.26351	80.086
0.26776	88.979
0.27201	36.309
0.27626	28.499
0.28051	17.130
0.28476	0
0.28901	51.726
0.29326	48.810
0.29752	55.345
0.30177	52.393
0.30602	0
0.31027	23.085
0.31452	53.065
0.31877	45.803
0.32302	97.164
0.32727	244.678
0.33152	134.149
0.33577	31.573
0.34002	53.691
0.34427	54.928
0.34852	61.930
0.35277	61.248
0.35702	88.989
0.36127	119.797
0.36552	129.164
0.36977	132.320
0.37402	54.210
0.37827	49.553
0.38252	52.673
0.38677	3.023
0.39102	36.953
0.39527	62.994
0.39952	47.701
0.40377	55.218
0.40802	77.198
0.41227	117.164
0.41652	89.182
0.42077	36.888
0.42502	170.392
0.42927	235.266
0.43352	172.923
0.43777	75.130
0.44202	37.798
0.44627	198.162
0.45052	308.193
0.45477	315.593
0.45902	253.967
0.46327	201.335
0.46752	187.414
0.47177	109.122
0.47602	143.367
0.48027	132.029
0.48452	162.932
0.48877	356.704
0.49303	435.080
0.49728	183.427
0.50153	366.268
0.50578	525.266
0.51003	497.427
0.51428	429.711
0.51853	552.439
0.52278	178.388
0.52703	487.776
0.53128	556.834
0.53553	656.838
0.53978	443.587
0.54403	795.986
0.54828	747.263
0.55253	352.309
0.55678	554.218
0.56103	562.119
0.56528	761.718
0.56953	594.740
0.57378	821.402
0.57803	704.668
0.58228	837.951
0.58653	732.534
0.59078	645.365
0.59503	788.364
0.59928	916.363
0.60353	1164.258
0.60778	821.925
0.61203	891.890
0.61628	426.000
0.62053	440.787
0.62478	897.981
0.62903	730.291
0.63328	636.226
0.63753	951.050
0.64178	943.343
0.64603	1058.375
0.65028	1224.460
0.65453	1015.550
0.65878	693.206
0.66303	501.430
0.66728	752.171
0.67153	693.713
0.67578	536.397
0.68003	1001.000
0.68428	505.915
0.68854	796.021
0.69279	569.636
0.69704	959.558
0.70129	901.668
0.70554	895.038
0.70979	772.206
0.71404	495.571
0.71829	468.215
0.72254	466.420
0.72679	645.272
0.73104	477.380
0.73529	599.732
0.73954	477.400
0.74379	572.369
0.74804	308.091
0.75229	518.272
0.75654	405.662
0.76079	492.869
0.76504	414.241
0.76929	488.666
0.77354	214.383
0.77779	261.966
0.78204	258.961
0.78629	264.589
0.79054	388.574
0.79479	236.934
0.79904	363.392
0.80329	334.690
0.80754	290.332
0.81179	315.988
0.81604	274.743
0.82029	95.981
0.82454	115.577
0.82879	95.741
0.83304	214.692
0.83729	150.055
0.84154	131.984
0.84579	138.387
0.85004	98.603
0.85429	194.256
0.85854	168.395
0.86279	196.520
0.86704	253.344
0.87129	150.862
0.87554	45.441
0.87980	7.603
0.88405	42.600
0.88830	59.393
0.89255	114.094
0.89680	175.717
0.90105	125.601
0.90530	18.549
0.90955	58.190
0.91380	97.458
0.91805	128.782
0.92230	129.488
0.92655	203.633
0.93080	220.754
0.93505	115.823
0.93930	255.274
0.94355	256.602
0.94780	79.279
0.95205	72.390
0.95630	55.345
0.96055	41.324
0.96480	39.055
0.96905	15.135
0.97330	45.441
0.97755	62.724
0.98180	23.311
0.98605	68.240
0.99030	96.088
0.99455	115.022
0.99880	52.673
1.00305	3.023
1.00730	39.110
1.01155	68.628
1.01580	0
1.02005	0
1.02430	15.212
1.02855	30.993
1.03280	16.972
1.03705	2.015
1.04130	3.435
1.04555	25.090
1.04980	67.590
1.05405	76.173
1.05830	11.267
1.06255	41.095
1.06680	72.765
1.07105	580
1.07530	35.253
1.07956	65.203
1.08381	33.589
1.08806	0
1.09231	7.893
1.09656	16.102
1.10081	0
1.10506	20.611
1.10931	68.480
1.11356	6.840
1.11781	50.953
1.12206	54.917
1.12631	88.552
1.13056	2.565
1.13481	17.980
1.13906	94.455
1.14331	80.434
1.14756	62.851
1.15181	47.452
1.15606	21.722
1.16031	186.021
1.16456	172.340
1.16881	382
1.17306	26.331
1.17731	97.407
1.18156	0
1.18581	4.534
1.19006	73.263
1.19431	35.822
1.19856	0
1.20281	8.855
1.20706	21.929
1.21131	0
1.21556	1.405
1.21981	67.139
1.22406	183.436
1.22831	27.815
