Distance_(microns)	Gray_Value
0.00000	0
0.00365	276.640
0.00730	213.000
0.01095	106.500
0.01459	197.415
0.01824	249.366
0.02189	41.561
0.02554	112.994
0.02919	394.829
0.03284	88.317
0.03648	140.268
0.04013	162.348
0.04378	213.000
0.04743	215.726
0.05108	400.024
0.05473	318.201
0.05838	244.171
0.06202	289.988
0.06567	249.366
0.06932	213.000
0.07297	280.537
0.07662	280.537
0.08027	213.000
0.08391	310.409
0.08756	259.756
0.09121	250.665
0.09486	316.902
0.09851	227.476
0.10216	213.000
0.10581	296.122
0.10945	10.390
0.11310	448.500
0.11675	702.341
0.12040	365.171
0.12405	119.488
0.12770	106.500
0.13134	72.732
0.13499	220.793
0.13864	384.439
0.14229	74.030
0.14594	0
0.14959	106.500
0.15324	213.000
0.15688	213.000
0.16053	192.220
0.16418	3.896
0.16783	0
0.17148	106.500
0.17513	119.488
0.17878	289.915
0.18242	0
0.18607	67.616
0.18972	213.000
0.19337	213.000
0.19702	535.854
0.20067	120.976
0.20431	103.902
0.20796	181.829
0.21161	166.244
0.21526	0
0.21891	0
0.22256	174.037
0.22621	572.146
0.22985	192.445
0.23350	0
0.23715	59.744
0.24080	363.659
0.24445	3.896
0.24810	187.024
0.25174	54.549
0.25539	390.244
0.25904	223.652
0.26269	0
0.26634	253.659
0.26999	31.171
0.27364	219.524
0.27728	0
0.28093	177.933
0.28458	213.000
0.28823	192.220
0.29188	155.854
0.29553	0
0.29917	0
0.30282	106.500
0.30647	213.000
0.31012	42.860
0.31377	98.707
0.31742	71.433
0.32107	0
0.32471	6.494
0.32836	0
0.33201	106.500
0.33566	0
0.33931	55.848
0.34296	213.000
0.34660	161.049
0.35025	187.024
0.35390	1.299
0.35755	0
0.36120	106.500
0.36485	88.317
0.36850	48.055
0.37214	145.463
0.37579	87.018
0.37944	0
0.38309	0
0.38674	0
0.39039	68.835
0.39403	103.902
0.39768	66.238
0.40133	0
0.40498	189.622
0.40863	10.390
0.41228	16.884
0.41593	0
0.41957	0
0.42322	0
0.42687	32.470
0.43052	36.366
0.43417	102.604
0.43782	0
0.44147	106.500
0.44511	270.146
0.44876	159.750
0.45241	0
0.45606	24.677
0.45971	192.220
0.46336	3.896
0.46700	0
0.47065	138.970
0.47430	93.512
0.47795	90.915
0.48160	213.000
0.48525	106.500
0.48890	207.805
0.49254	11.689
0.49619	0
0.49984	40.262
0.50349	0
0.50714	0
0.51079	0
0.51443	0
0.51808	0
0.52173	87.018
0.52538	67.537
0.52903	116.890
0.53268	0
0.53633	29.872
0.53997	181.829
0.54362	0
0.54727	0
0.55092	0
0.55457	0
0.55822	162.348
0.56186	72.732
0.56551	84.421
0.56916	0
0.57281	0
0.57646	171.439
0.58011	176.634
0.58376	98.707
0.58740	63.640
0.59105	0
0.59470	0
0.59835	0
0.60200	0
0.60565	0
0.60929	170.140
0.61294	311.707
0.61659	284.433
0.62024	384.439
0.62389	112.994
0.62754	197.415
0.63119	106.500
0.63483	0
0.63848	162.348
0.64213	213.000
0.64578	79.226
0.64943	25.976
0.65308	213.000
0.65672	31.171
0.66037	106.500
0.66402	88.317
0.66767	58.445
0.67132	67.537
0.67497	319.500
0.67862	202.610
0.68226	124.683
0.68591	46.756
0.68956	0
0.69321	0
0.69686	80.524
0.70051	161.049
0.70415	35.067
0.70780	207.805
0.71145	106.500
0.71510	62.341
0.71875	243.085
0.72240	306.512
0.72605	444.530
0.72969	36.366
0.73334	213.000
0.73699	213.000
0.74064	377.030
0.74429	717.927
0.74794	266.500
0.75159	348.073
0.75523	188.323
0.75888	41.561
0.76253	209.104
0.76618	0
0.76983	204.061
0.77348	213.000
0.77712	61.043
0.78077	124.683
0.78442	426.000
0.78807	415.610
0.79172	153.311
0.79537	374.049
0.79902	213.000
0.80266	213.000
0.80631	175.335
0.80996	259.756
0.81361	310.409
0.81726	213.000
0.82091	339.073
0.82455	135.073
0.82820	378.171
0.83185	426.000
0.83550	499.012
0.83915	910.000
0.84280	423.896
0.84645	104.024
0.85009	1192.598
0.85374	1102.756
0.85739	1010.152
0.86104	1268.927
0.86469	661.579
0.86834	441.659
0.87198	733.482
0.87563	1024.439
0.87928	709.799
0.88293	738.707
0.88658	1067.500
0.89023	894.293
0.89388	760.354
0.89752	1066.000
0.90117	1037.860
0.90482	1108.293
0.90847	1045.421
0.91212	951.707
0.91577	1064.866
0.91941	1284.805
0.92306	1127.482
0.92671	931.073
0.93036	875.079
0.93401	1134.195
0.93766	1223.890
0.94131	1076.610
0.94495	800.805
0.94860	613.902
0.95225	534.305
0.95590	1186.341
0.95955	976.384
0.96320	1066.000
0.96684	1183.390
0.97049	1493.000
0.97414	1230.372
0.97779	702.439
0.98144	1633.640
0.98509	827.244
0.98874	539.671
0.99238	1513.805
0.99603	1478.524
0.99968	1284.951
1.00333	1174.579
1.00698	254.634
1.01063	925.732
1.01428	889.659
1.01792	1036.415
1.02157	546.049
1.02522	941.274
1.02887	712.732
1.03252	856.896
1.03617	832.219
1.03981	902.469
1.04346	1066.000
1.04711	586.250
1.05076	640.000
1.05441	615.207
1.05806	426.000
1.06171	623.896
1.06535	1029.634
1.06900	820.378
1.07265	519.951
1.07630	685.171
1.07995	640.000
1.08360	802.268
1.08724	842.585
1.09089	556.433
1.09454	962.098
1.09819	931.049
1.10184	535.610
1.10549	319.677
1.10914	280.976
1.11278	825.683
1.11643	426.000
1.12008	251.963
1.12373	145.463
1.12738	357.390
1.13103	124.683
1.13467	89.756
1.13832	546.341
1.14197	111.701
1.14562	587.927
1.14927	399.226
1.15292	249.756
1.15657	157.152
1.16021	140.268
1.16386	190.921
1.16751	244.244
1.17116	406.988
1.17481	384.439
1.17846	462.701
1.18210	311.707
1.18575	106.500
1.18940	213.000
1.19305	333.854
1.19670	640.000
1.20035	426.067
1.20400	114.293
1.20764	276.640
1.21129	311.707
1.21494	284.433
1.21859	83.122
1.22224	219.494
1.22589	197.415
1.22953	297.421
1.23318	353.268
1.23683	207.805
1.24048	296.122
1.24413	185.726
1.24778	187.024
1.25143	3.896
1.25507	0
1.25872	0
1.26237	249.366
1.26602	388.610
1.26967	213.000
1.27332	106.500
1.27696	10.390
1.28061	514.817
1.28426	353.488
1.28791	281.835
1.29156	207.805
1.29521	227.287
1.29886	374.049
1.30250	118.189
1.30615	415.610
1.30980	229.884
1.31345	426.000
1.31710	274.043
1.32075	332.488
1.32440	138.970
1.32804	249.366
1.33169	311.707
1.33534	20.780
1.33899	106.500
1.34264	0
1.34629	0
1.34993	155.854
1.35358	368.970
1.35723	790.561
1.36088	122.104
1.36453	176.634
1.36818	130.030
1.37183	0
1.37547	106.500
