Distance_(microns)	Gray_Value
0.00000	0
0.00365	0
0.00730	23.514
0.01095	93.330
0.01459	32.714
0.01824	11.023
0.02189	97.727
0.02554	62.018
0.02919	0
0.03284	0
0.03648	18.353
0.04013	100.317
0.04378	0
0.04743	73.744
0.05108	177.928
0.05473	207.961
0.05838	122.266
0.06202	2.459
0.06567	103.213
0.06932	15.802
0.07297	134.442
0.07662	0
0.08027	0
0.08391	0
0.08756	0
0.09121	0
0.09486	7.469
0.09851	17.176
0.10216	141.583
0.10581	0
0.10945	0
0.11310	15.654
0.11675	28.674
0.12040	111.997
0.12405	0
0.12770	0
0.13134	44.402
0.13499	169.885
0.13864	193.839
0.14229	93.061
0.14594	46.535
0.14959	180.181
0.15324	55.654
0.15688	129.051
0.16053	129.010
0.16418	58.895
0.16783	0
0.17148	0
0.17513	0
0.17878	124.426
0.18242	153.780
0.18607	297.165
0.18972	129.253
0.19337	57.937
0.19702	230.719
0.20067	99.743
0.20431	0
0.20796	209.779
0.21161	13.900
0.21526	0
0.21891	80.627
0.22256	169.005
0.22621	161.770
0.22985	0
0.23350	0
0.23715	94.624
0.24080	96.417
0.24445	84.715
0.24810	0
0.25174	0
0.25539	213.113
0.25904	290.935
0.26269	26.292
0.26634	189.463
0.26999	123.341
0.27364	76.229
0.27728	76.645
0.28093	77.221
0.28458	233.936
0.28823	192.079
0.29188	186.138
0.29553	222.446
0.29917	119.762
0.30282	77.372
0.30647	318.500
0.31012	37.967
0.31377	0
0.31742	30.212
0.32107	0
0.32471	12.870
0.32836	181.410
0.33201	83.012
0.33566	84.943
0.33931	285.675
0.34296	333.549
0.34660	51.048
0.35025	187.279
0.35390	280.045
0.35755	73.908
0.36120	33.462
0.36485	205.921
0.36850	189.118
0.37214	102.799
0.37579	259.270
0.37944	123.736
0.38309	5.978
0.38674	194.253
0.39039	130.237
0.39403	79.795
0.39768	42.460
0.40133	60.894
0.40498	236.479
0.40863	145.245
0.41228	136.376
0.41593	10.304
0.41957	159.689
0.42322	143.892
0.42687	261.967
0.43052	47.281
0.43417	111.799
0.43782	334.471
0.44147	128.367
0.44511	248.054
0.44876	145.520
0.45241	215.214
0.45606	105.016
0.45971	356.398
0.46336	158.875
0.46700	261.906
0.47065	213.288
0.47430	491.779
0.47795	245.362
0.48160	90.526
0.48525	268.789
0.48890	407.716
0.49254	207.733
0.49619	375.807
0.49984	77.864
0.50349	190.246
0.50714	97.169
0.51079	216.315
0.51443	365.246
0.51808	75.354
0.52173	408.380
0.52538	456.863
0.52903	286.523
0.53268	217.613
0.53633	335.641
0.53997	132.577
0.54362	376.290
0.54727	283.846
0.55092	467.381
0.55457	458.351
0.55822	684.183
0.56186	393.932
0.56551	280.284
0.56916	272.292
0.57281	623.916
0.57646	618.094
0.58011	249.959
0.58376	471.575
0.58740	617.005
0.59105	611.459
0.59470	31.779
0.59835	352.320
0.60200	339.770
0.60565	408.285
0.60929	442.769
0.61294	1039.089
0.61659	512.456
0.62024	650.089
0.62389	422.078
0.62754	591.740
0.63119	1183.909
0.63483	689.872
0.63848	766.741
0.64213	887.005
0.64578	834.457
0.64943	473.923
0.65308	451.810
0.65672	233.036
0.66037	759.400
0.66402	623.032
0.66767	430.663
0.67132	300.651
0.67497	588.100
0.67862	408.478
0.68226	439.143
0.68591	185.628
0.68956	571.069
0.69321	658.216
0.69686	396.373
0.70051	244.670
0.70415	153.134
0.70780	559.724
0.71145	572.724
0.71510	351.588
0.71875	413.663
0.72240	193.848
0.72605	365.301
0.72969	282.927
0.73334	371.302
0.73699	191.259
0.74064	441.962
0.74429	465.716
0.74794	5.638
0.75159	123.948
0.75523	625.489
0.75888	627.625
0.76253	369.907
0.76618	509.500
0.76983	250.102
0.77348	461.029
0.77712	430.107
0.78077	361.589
0.78442	337.196
0.78807	278.280
0.79172	243.245
0.79537	106.272
0.79902	211.775
0.80266	73.041
0.80631	39.174
0.80996	167.311
0.81361	207.253
0.81726	84.840
0.82091	99.185
0.82455	210.696
0.82820	89.264
0.83185	41.215
0.83550	121.515
0.83915	106.322
0.84280	6.458
0.84645	58.038
0.85009	76.303
0.85374	112.211
0.85739	64.389
0.86104	17.375
0.86469	189.834
0.86834	126.852
0.87198	166.922
0.87563	83.255
0.87928	34.924
0.88293	93.771
0.88658	0
0.89023	0
0.89388	104.835
0.89752	339.714
0.90117	3.826
0.90482	17.450
0.90847	57.877
0.91212	127.706
0.91577	49.072
0.91941	7.722
0.92306	171.472
0.92671	26.596
0.93036	0
0.93401	47.767
0.93766	148.268
0.94131	3.594
0.94495	0
0.94860	109.396
0.95225	144.145
0.95590	28.314
0.95955	200.773
0.96320	24.869
0.96684	14.103
0.97049	150.580
0.97414	174.390
0.97779	1.931
0.98144	202.060
0.98509	155.491
0.98874	0
0.99238	79.320
0.99603	8.366
0.99968	118.401
1.00333	659
1.00698	59.665
1.01063	221.216
1.01428	86.895
1.01792	139.732
1.02157	126.006
1.02522	0
1.02887	9.238
1.03252	148.986
1.03617	70.655
1.03981	62.966
1.04346	117.790
1.04711	403.001
1.05076	128.526
1.05441	331
1.05806	144.798
1.06171	192.003
1.06535	2.971
1.06900	68.711
1.07265	213.000
1.07630	213.000
1.07995	131.918
1.08360	100.756
1.08724	67.554
1.09089	28.674
1.09454	15.654
1.09819	0
1.10184	101.320
1.10549	213.000
1.10914	206.120
1.11278	294.334
1.11643	192.567
1.12008	29.601
1.12373	36.209
1.12738	204.634
1.13103	79.151
1.13467	46.332
1.13832	171.816
1.14197	73.877
1.14562	758
1.14927	4.112
1.15292	0
1.15657	141.571
1.16021	174.775
1.16386	160.917
1.16751	30.315
1.17116	405.840
1.17481	165.130
1.17846	29.181
1.18210	70.785
1.18575	210.898
1.18940	394.217
1.19305	36.246
1.19670	93.330
1.20035	23.514
1.20400	94.743
1.20764	6,393E-06
