ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:26:22"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1541947
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     102.12425
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 101.824"	" 2, 102.005"	" 3, 102.153"	" 4, 101.709"	" 5, 102.081"	" 6, 102.666"	" 7, 102.630"	" 8, 102.582"	" 9, 102.541"	"10, 102.124"	
  2.50000E-005	  1.08728E+002	  1.08954E+002	  1.08645E+002	  1.08579E+002	  1.09024E+002	  1.08941E+002	  1.08765E+002	  1.08497E+002	  1.08631E+002	  1.08571E+002	  1.08676E+002	
  5.00000E-005	  9.94036E+001	  9.97112E+001	  9.93827E+001	  9.92661E+001	  9.97140E+001	  9.95792E+001	  9.93151E+001	  9.90257E+001	  9.92460E+001	  9.92900E+001	  9.95060E+001	
  7.50000E-005	  7.51146E+001	  7.50468E+001	  7.48895E+001	  7.49837E+001	  7.52021E+001	  7.51069E+001	  7.55272E+001	  7.50233E+001	  7.52202E+001	  7.50358E+001	  7.51104E+001	
  1.00000E-004	  2.21420E+001	  2.19543E+001	  2.18833E+001	  2.19291E+001	  2.21302E+001	  2.21582E+001	  2.26002E+001	  2.22600E+001	  2.22830E+001	  2.22068E+001	  2.20152E+001	
  1.25000E-004	  7.22310E+000	  7.21078E+000	  7.10645E+000	  7.15512E+000	  7.24735E+000	  7.15621E+000	  7.40990E+000	  7.28522E+000	  7.29478E+000	  7.19055E+000	  7.17460E+000	
  1.50000E-004	  2.40214E+000	  2.41502E+000	  2.38600E+000	  2.40165E+000	  2.39930E+000	  2.36726E+000	  2.43867E+000	  2.41871E+000	  2.44890E+000	  2.38762E+000	  2.35826E+000	
  1.75000E-004	  1.79835E+000	  1.81707E+000	  1.79299E+000	  1.80816E+000	  1.80194E+000	  1.75952E+000	  1.80849E+000	  1.80948E+000	  1.82195E+000	  1.76566E+000	  1.79823E+000	
  2.00000E-004	  1.57378E+000	  1.58152E+000	  1.56136E+000	  1.56766E+000	  1.59409E+000	  1.56036E+000	  1.60463E+000	  1.57888E+000	  1.60750E+000	  1.53694E+000	  1.54488E+000	
  2.25000E-004	  1.35062E+000	  1.35073E+000	  1.36074E+000	  1.34704E+000	  1.36419E+000	  1.31204E+000	  1.37597E+000	  1.32435E+000	  1.38338E+000	  1.36544E+000	  1.32235E+000	
  2.50000E-004	  1.22240E+000	  1.24332E+000	  1.24422E+000	  1.23134E+000	  1.23139E+000	  1.17777E+000	  1.24322E+000	  1.21279E+000	  1.21370E+000	  1.21055E+000	  1.21569E+000	
  2.75000E-004	  1.16800E+000	  1.18607E+000	  1.15576E+000	  1.15605E+000	  1.15351E+000	  1.17623E+000	  1.20690E+000	  1.17036E+000	  1.18305E+000	  1.14598E+000	  1.14612E+000	
  3.00000E-004	  1.19508E+000	  1.22453E+000	  1.19832E+000	  1.20004E+000	  1.20573E+000	  1.16830E+000	  1.22475E+000	  1.17860E+000	  1.21803E+000	  1.19558E+000	  1.13691E+000	
  3.25000E-004	  1.27929E+000	  1.32076E+000	  1.28716E+000	  1.30073E+000	  1.26453E+000	  1.24087E+000	  1.31092E+000	  1.27889E+000	  1.29740E+000	  1.27080E+000	  1.22081E+000	
  3.50000E-004	  1.37702E+000	  1.39434E+000	  1.41073E+000	  1.38565E+000	  1.37812E+000	  1.36068E+000	  1.38571E+000	  1.37475E+000	  1.38097E+000	  1.37508E+000	  1.32414E+000	
  3.75000E-004	  1.50853E+000	  1.54872E+000	  1.51329E+000	  1.52366E+000	  1.53104E+000	  1.49994E+000	  1.52516E+000	  1.49948E+000	  1.50982E+000	  1.50054E+000	  1.43362E+000	
  4.00000E-004	  1.53770E+000	  1.57426E+000	  1.56142E+000	  1.54874E+000	  1.55128E+000	  1.53834E+000	  1.55338E+000	  1.52488E+000	  1.51986E+000	  1.51880E+000	  1.48605E+000	
  4.50000E-004	  1.36683E+000	  1.38753E+000	  1.36426E+000	  1.37192E+000	  1.38766E+000	  1.37194E+000	  1.37824E+000	  1.33119E+000	  1.35953E+000	  1.34933E+000	  1.36673E+000	
  5.00000E-004	  1.06139E+000	  1.08643E+000	  1.04161E+000	  1.04837E+000	  1.06371E+000	  1.06302E+000	  1.06075E+000	  1.05754E+000	  1.04676E+000	  1.06441E+000	  1.08134E+000	
  5.50000E-004	  8.17806E-001	  8.40527E-001	  8.23048E-001	  8.05493E-001	  8.25688E-001	  8.27758E-001	  8.18988E-001	  8.22821E-001	  7.90908E-001	  8.12165E-001	  8.10665E-001	
  6.00000E-004	  7.36892E-001	  7.72603E-001	  7.39469E-001	  7.17566E-001	  7.52387E-001	  7.50894E-001	  7.16172E-001	  7.67419E-001	  7.16499E-001	  7.11824E-001	  7.24084E-001	
  6.50000E-004	  6.91052E-001	  7.21337E-001	  6.99153E-001	  6.90630E-001	  7.04229E-001	  6.91183E-001	  6.85042E-001	  7.08662E-001	  6.81266E-001	  6.61654E-001	  6.67365E-001	
  7.00000E-004	  6.27371E-001	  6.50068E-001	  6.45506E-001	  6.44004E-001	  6.48980E-001	  6.20656E-001	  6.32907E-001	  6.47941E-001	  5.80400E-001	  6.05902E-001	  5.97345E-001	
  7.50000E-004	  5.68953E-001	  5.62396E-001	  5.81283E-001	  5.82500E-001	  5.68007E-001	  5.77072E-001	  5.81214E-001	  5.84624E-001	  5.33592E-001	  5.58205E-001	  5.60641E-001	
  8.00000E-004	  5.24404E-001	  5.21391E-001	  5.35615E-001	  5.29878E-001	  5.21783E-001	  5.26801E-001	  5.36102E-001	  5.32198E-001	  5.01825E-001	  5.13647E-001	  5.24799E-001	
  9.00000E-004	  4.54076E-001	  4.59223E-001	  4.39409E-001	  4.71356E-001	  4.45355E-001	  4.68273E-001	  4.68116E-001	  4.24465E-001	  4.54795E-001	  4.45876E-001	  4.63892E-001	
  1.00000E-003	  4.13402E-001	  4.21305E-001	  4.18258E-001	  4.24635E-001	  4.01742E-001	  4.21714E-001	  4.44674E-001	  3.83531E-001	  4.10404E-001	  4.00557E-001	  4.07205E-001	
  1.10000E-003	  3.73838E-001	  3.75700E-001	  3.82813E-001	  3.74867E-001	  3.72183E-001	  3.67506E-001	  3.83713E-001	  3.57254E-001	  3.76220E-001	  3.73823E-001	  3.74305E-001	
  1.20000E-003	  3.37574E-001	  3.31832E-001	  3.48170E-001	  3.52581E-001	  3.44559E-001	  3.25139E-001	  3.25724E-001	  3.17745E-001	  3.43276E-001	  3.61011E-001	  3.25707E-001	
  1.30000E-003	  3.11807E-001	  2.91405E-001	  3.10642E-001	  3.12337E-001	  3.14097E-001	  3.02611E-001	  3.17689E-001	  2.99351E-001	  3.28999E-001	  3.28949E-001	  3.11991E-001	
