ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:40:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1543895
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      95.34245
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  92.718"	" 2,  93.489"	" 3,  94.095"	" 4,  94.323"	" 5,  94.155"	" 6,  93.453"	" 7,  93.613"	" 8,  94.443"	" 9,  95.505"	"10,  95.342"	
  2.50000E-005	  1.18810E+002	  1.20072E+002	  1.19619E+002	  1.18910E+002	  1.18744E+002	  1.19239E+002	  1.19462E+002	  1.19175E+002	  1.18201E+002	  1.17132E+002	  1.17551E+002	
  5.00000E-005	  1.08573E+002	  1.09802E+002	  1.09284E+002	  1.08651E+002	  1.08714E+002	  1.08775E+002	  1.09103E+002	  1.09013E+002	  1.07969E+002	  1.06996E+002	  1.07424E+002	
  7.50000E-005	  8.22003E+001	  8.28460E+001	  8.26262E+001	  8.23774E+001	  8.25005E+001	  8.26268E+001	  8.24774E+001	  8.22624E+001	  8.16786E+001	  8.10986E+001	  8.15091E+001	
  1.00000E-004	  2.44931E+001	  2.45299E+001	  2.45309E+001	  2.46297E+001	  2.48027E+001	  2.48033E+001	  2.44166E+001	  2.42888E+001	  2.41905E+001	  2.42230E+001	  2.45155E+001	
  1.25000E-004	  8.00315E+000	  7.96398E+000	  8.01899E+000	  8.04858E+000	  8.10939E+000	  8.18081E+000	  7.95018E+000	  7.87084E+000	  7.95177E+000	  7.89183E+000	  8.04508E+000	
  1.50000E-004	  2.60704E+000	  2.62950E+000	  2.63119E+000	  2.57193E+000	  2.61185E+000	  2.64133E+000	  2.56568E+000	  2.60173E+000	  2.62686E+000	  2.57738E+000	  2.61295E+000	
  1.75000E-004	  1.95057E+000	  1.96904E+000	  1.95863E+000	  1.93343E+000	  1.97649E+000	  1.95946E+000	  1.93752E+000	  1.93478E+000	  1.97083E+000	  1.91847E+000	  1.94709E+000	
  2.00000E-004	  1.69640E+000	  1.69873E+000	  1.73562E+000	  1.67370E+000	  1.70709E+000	  1.71181E+000	  1.66582E+000	  1.67816E+000	  1.71920E+000	  1.67368E+000	  1.70014E+000	
  2.25000E-004	  1.45837E+000	  1.46498E+000	  1.45478E+000	  1.45523E+000	  1.48386E+000	  1.46311E+000	  1.43246E+000	  1.46569E+000	  1.45927E+000	  1.44834E+000	  1.45598E+000	
  2.50000E-004	  1.32023E+000	  1.34467E+000	  1.32600E+000	  1.31928E+000	  1.31565E+000	  1.31597E+000	  1.30784E+000	  1.30953E+000	  1.30300E+000	  1.33004E+000	  1.33038E+000	
  2.75000E-004	  1.26559E+000	  1.26982E+000	  1.23640E+000	  1.27939E+000	  1.30471E+000	  1.29129E+000	  1.23010E+000	  1.24408E+000	  1.27746E+000	  1.26993E+000	  1.25276E+000	
  3.00000E-004	  1.28895E+000	  1.29685E+000	  1.25752E+000	  1.30466E+000	  1.31655E+000	  1.30137E+000	  1.28157E+000	  1.27330E+000	  1.27565E+000	  1.31249E+000	  1.26949E+000	
  3.25000E-004	  1.37835E+000	  1.37451E+000	  1.34019E+000	  1.40133E+000	  1.39736E+000	  1.37916E+000	  1.38725E+000	  1.38471E+000	  1.37479E+000	  1.36440E+000	  1.37983E+000	
  3.50000E-004	  1.50116E+000	  1.48701E+000	  1.50428E+000	  1.52831E+000	  1.55117E+000	  1.50434E+000	  1.51738E+000	  1.50480E+000	  1.48450E+000	  1.47100E+000	  1.45877E+000	
  3.75000E-004	  1.63590E+000	  1.62795E+000	  1.63013E+000	  1.65391E+000	  1.67950E+000	  1.61432E+000	  1.63024E+000	  1.66416E+000	  1.63095E+000	  1.62761E+000	  1.60022E+000	
  4.00000E-004	  1.67123E+000	  1.66326E+000	  1.66236E+000	  1.68946E+000	  1.70424E+000	  1.65916E+000	  1.68072E+000	  1.69361E+000	  1.67114E+000	  1.64648E+000	  1.64189E+000	
  4.50000E-004	  1.49164E+000	  1.50482E+000	  1.48678E+000	  1.52206E+000	  1.51797E+000	  1.46334E+000	  1.49431E+000	  1.50183E+000	  1.46939E+000	  1.47692E+000	  1.47902E+000	
  5.00000E-004	  1.16386E+000	  1.14100E+000	  1.17178E+000	  1.18073E+000	  1.17548E+000	  1.15355E+000	  1.17512E+000	  1.17521E+000	  1.13087E+000	  1.16304E+000	  1.17184E+000	
  5.50000E-004	  8.83561E-001	  8.80999E-001	  8.97644E-001	  9.02357E-001	  8.99850E-001	  8.92733E-001	  8.78906E-001	  8.68975E-001	  8.46150E-001	  8.80231E-001	  8.87765E-001	
  6.00000E-004	  7.84808E-001	  8.11156E-001	  8.06266E-001	  7.86347E-001	  7.90784E-001	  8.13067E-001	  7.50159E-001	  7.69663E-001	  7.73081E-001	  7.67414E-001	  7.80138E-001	
  6.50000E-004	  7.33598E-001	  7.62406E-001	  7.39565E-001	  7.37553E-001	  7.39886E-001	  7.53186E-001	  7.24653E-001	  7.03607E-001	  7.25930E-001	  7.17696E-001	  7.31497E-001	
  7.00000E-004	  6.76802E-001	  7.00766E-001	  6.61451E-001	  6.90282E-001	  6.73772E-001	  6.85857E-001	  6.86014E-001	  6.63425E-001	  6.68804E-001	  6.82235E-001	  6.55417E-001	
  7.50000E-004	  6.23415E-001	  6.11470E-001	  6.36389E-001	  6.48034E-001	  6.18377E-001	  6.39441E-001	  6.31949E-001	  6.18602E-001	  6.21578E-001	  6.18478E-001	  5.89828E-001	
  8.00000E-004	  5.73499E-001	  5.58658E-001	  5.75124E-001	  5.95168E-001	  5.85057E-001	  5.90280E-001	  5.64941E-001	  5.80931E-001	  5.68797E-001	  5.70551E-001	  5.45479E-001	
  9.00000E-004	  4.88221E-001	  4.88385E-001	  4.75380E-001	  4.94573E-001	  5.09273E-001	  5.01022E-001	  4.78269E-001	  4.82494E-001	  4.79935E-001	  4.99959E-001	  4.72921E-001	
  1.00000E-003	  4.43555E-001	  4.42956E-001	  4.42877E-001	  4.39423E-001	  4.43534E-001	  4.43059E-001	  4.54138E-001	  4.49276E-001	  4.61536E-001	  4.28562E-001	  4.30185E-001	
  1.10000E-003	  3.98133E-001	  3.98269E-001	  4.09179E-001	  4.18299E-001	  3.81467E-001	  4.05633E-001	  3.92094E-001	  3.97755E-001	  4.01199E-001	  3.91529E-001	  3.85909E-001	
  1.20000E-003	  3.58929E-001	  3.56707E-001	  3.67423E-001	  3.73083E-001	  3.38216E-001	  3.83177E-001	  3.52194E-001	  3.67505E-001	  3.47020E-001	  3.68351E-001	  3.35617E-001	
  1.30000E-003	  3.32765E-001	  3.25262E-001	  3.28019E-001	  3.34489E-001	  3.42451E-001	  3.40410E-001	  3.37189E-001	  3.44028E-001	  3.19100E-001	  3.31611E-001	  3.25089E-001	
  1.40000E-003	  3.09038E-001	  3.01473E-001	  3.08240E-001	  3.04459E-001	  3.13929E-001	  3.09868E-001	  2.96755E-001	  3.32841E-001	  3.11543E-001	  2.92348E-001	  3.18927E-001	
  1.50000E-003	  2.93228E-001	  3.13621E-001	  2.99796E-001	  2.83069E-001	  2.85219E-001	  2.90948E-001	  2.75411E-001	  3.00345E-001	  2.91557E-001	  2.92823E-001	  2.99485E-001	
  1.60000E-003	  2.92533E-001	  2.99324E-001	  2.91217E-001	  2.83698E-001	  2.98468E-001	  2.97719E-001	  2.88145E-001	  2.83622E-001	  2.88969E-001	  3.06276E-001	  2.87893E-001	
  1.80000E-003	  2.94906E-001	  2.99207E-001	  2.93994E-001	  2.88113E-001	  3.04802E-001	  3.07160E-001	  3.02195E-001	  2.77762E-001	  3.03232E-001	  2.91891E-001	  2.80703E-001	
  2.00000E-003	  3.10138E-001	  3.06219E-001	  3.17725E-001	  3.08856E-001	  3.05158E-001	  2.96177E-001	  3.21572E-001	  3.26638E-001	  3.07576E-001	  2.96351E-001	  3.15112E-001	
  2.20000E-003	  3.30110E-001	  3.31883E-001	  3.44694E-001	  3.27640E-001	  3.02853E-001	  3.22845E-001	  3.55554E-001	  3.45435E-001	  3.21197E-001	  3.24519E-001	  3.24484E-001	
  2.40000E-003	  3.36616E-001	  3.37332E-001	  3.32993E-001	  3.28896E-001	  3.29352E-001	  3.47256E-001	  3.20599E-001	  3.39290E-001	  3.53443E-001	  3.53527E-001	  3.23475E-001	
  2.60000E-003	  3.28589E-001	  3.20086E-001	  3.43923E-001	  3.35727E-001	  3.29989E-001	  3.18858E-001	  3.30908E-001	  3.26505E-001	  3.18344E-001	  3.34718E-001	  3.26832E-001	
  2.80000E-003	  3.21462E-001	  3.18816E-001	  3.35229E-001	  3.31579E-001	  3.30157E-001	  3.30067E-001	  3.12466E-001	  3.13111E-001	  2.99359E-001	  3.11376E-001	  3.32463E-001	
  3.00000E-003	  3.03419E-001	  2.94988E-001	  3.21407E-001	  3.04898E-001	  3.17189E-001	  3.05749E-001	  2.85357E-001	  2.98195E-001	  2.95864E-001	  2.93353E-001	  3.17184E-001	
  3.20000E-003	  2.80086E-001	  2.71308E-001	  2.87236E-001	  2.82700E-001	  2.89540E-001	  2.83446E-001	  2.66801E-001	  2.79409E-001	  2.84180E-001	  2.78072E-001	  2.78163E-001	
  3.60000E-003	  2.35111E-001	  2.27393E-001	  2.30154E-001	  2.40814E-001	  2.45886E-001	  2.42616E-001	  2.27770E-001	  2.31084E-001	  2.38049E-001	  2.40408E-001	  2.26936E-001	
  4.00000E-003	  1.96542E-001	  1.87725E-001	  2.05787E-001	  1.90687E-001	  2.01809E-001	  2.13521E-001	  1.96557E-001	  1.99968E-001	  1.80820E-001	  1.94044E-001	  1.94499E-001	
  4.40000E-003	  1.67239E-001	  1.69288E-001	  1.69111E-001	  1.76024E-001	  1.62849E-001	  1.75080E-001	  1.58729E-001	  1.68529E-001	  1.61447E-001	  1.64195E-001	  1.67143E-001	
  4.80000E-003	  1.43519E-001	  1.44278E-001	  1.43915E-001	  1.41132E-001	  1.45177E-001	  1.39262E-001	  1.41328E-001	  1.54640E-001	  1.36219E-001	  1.40570E-001	  1.48674E-001	
  5.20000E-003	  1.26311E-001	  1.28634E-001	  1.18005E-001	  1.18704E-001	  1.23889E-001	  1.14033E-001	  1.32699E-001	  1.43606E-001	  1.24875E-001	  1.32189E-001	  1.26481E-001	
  5.60000E-003	  1.11407E-001	  9.87510E-002	  1.18352E-001	  1.05316E-001	  1.19832E-001	  1.08202E-001	  1.03499E-001	  1.20604E-001	  1.01923E-001	  1.12950E-001	  1.24638E-001	
  6.00000E-003	  1.02371E-001	  1.10265E-001	  9.75993E-002	  9.79896E-002	  9.46827E-002	  1.06557E-001	  1.09112E-001	  1.05736E-001	  1.00874E-001	  1.00969E-001	  9.99231E-002	
  6.40000E-003	  9.88345E-002	  9.87666E-002	  9.91365E-002	  1.02840E-001	  9.21776E-002	  9.59906E-002	  1.01815E-001	  1.01781E-001	  1.01162E-001	  9.59860E-002	  9.86894E-002	
  7.20000E-003	  9.12356E-002	  9.33223E-002	  7.89043E-002	  9.56890E-002	  9.42390E-002	  8.27398E-002	  9.83362E-002	  9.40803E-002	  8.98942E-002	  9.74117E-002	  8.77396E-002	
  8.00000E-003	  8.40691E-002	  8.53927E-002	  7.33667E-002	  7.99698E-002	  7.77510E-002	  8.31865E-002	  8.51207E-002	  8.47578E-002	  8.55824E-002	  9.49669E-002	  9.05967E-002	
  8.80000E-003	  8.02441E-002	  8.98202E-002	  7.90730E-002	  7.28001E-002	  7.80836E-002	  7.60963E-002	  8.29634E-002	  7.02842E-002	  8.97194E-002	  8.67369E-002	  7.68636E-002	
