ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:48:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2767151
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	       2.36438
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.972"	" 2,   1.980"	" 3,   2.029"	" 4,   2.033"	" 5,   1.999"	" 6,   2.082"	" 7,   2.298"	" 8,   2.405"	" 9,   2.456"	"10,   2.364"	
  2.50000E-005	  5.63500E+003	  6.04881E+003	  6.07707E+003	  5.89325E+003	  5.92129E+003	  6.01861E+003	  5.78629E+003	  5.32801E+003	  5.08735E+003	  5.02025E+003	  5.16905E+003	
  5.00000E-005	  5.13954E+003	  5.54598E+003	  5.53628E+003	  5.38709E+003	  5.39298E+003	  5.50566E+003	  5.31247E+003	  4.83177E+003	  4.63106E+003	  4.55282E+003	  4.69929E+003	
  7.50000E-005	  3.83607E+003	  4.12288E+003	  4.10954E+003	  3.99975E+003	  4.01092E+003	  4.09857E+003	  3.96826E+003	  3.66369E+003	  3.44975E+003	  3.43736E+003	  3.49997E+003	
  1.00000E-004	  1.02773E+003	  1.07945E+003	  1.10652E+003	  1.04695E+003	  1.05400E+003	  1.10221E+003	  1.11123E+003	  9.96532E+002	  9.30488E+002	  9.27402E+002	  9.22489E+002	
  1.25000E-004	  3.06285E+002	  3.36511E+002	  3.45187E+002	  2.99849E+002	  3.27691E+002	  3.25729E+002	  3.20824E+002	  2.81735E+002	  2.64975E+002	  2.77142E+002	  2.83206E+002	
  1.50000E-004	  9.69964E+001	  1.16306E+002	  9.56181E+001	  1.01010E+002	  1.03362E+002	  1.06229E+002	  1.01762E+002	  9.45084E+001	  8.25063E+001	  8.25094E+001	  8.61532E+001	
  1.75000E-004	  7.99338E+001	  8.40637E+001	  8.36689E+001	  7.38076E+001	  8.41801E+001	  9.21110E+001	  8.85322E+001	  7.98537E+001	  7.30484E+001	  6.46940E+001	  7.53788E+001	
  2.00000E-004	  7.08639E+001	  8.09767E+001	  7.75236E+001	  6.79784E+001	  7.73527E+001	  7.42955E+001	  7.09950E+001	  6.62096E+001	  6.68201E+001	  6.06856E+001	  6.58015E+001	
  2.25000E-004	  6.11696E+001	  6.55418E+001	  6.21603E+001	  6.21492E+001	  6.17472E+001	  6.52197E+001	  6.57646E+001	  6.16616E+001	  5.85156E+001	  5.84587E+001	  5.04779E+001	
  2.50000E-004	  5.40209E+001	  5.55948E+001	  5.49907E+001	  5.63201E+001	  5.65453E+001	  6.11860E+001	  6.26878E+001	  5.35762E+001	  5.32099E+001	  4.37610E+001	  4.23372E+001	
  2.75000E-004	  5.26549E+001	  5.42228E+001	  5.46493E+001	  5.11386E+001	  5.62202E+001	  5.54716E+001	  5.46884E+001	  5.93876E+001	  5.29792E+001	  4.35383E+001	  4.42526E+001	
  3.00000E-004	  6.33885E+001	  5.35368E+001	  5.49907E+001	  6.73307E+001	  7.02002E+001	  6.85811E+001	  6.88413E+001	  6.74729E+001	  6.65894E+001	  5.86814E+001	  5.76608E+001	
  3.25000E-004	  7.10949E+001	  6.62278E+001	  7.34267E+001	  7.12168E+001	  7.44267E+001	  6.92534E+001	  8.23788E+001	  7.78323E+001	  7.32791E+001	  5.73452E+001	  6.55621E+001	
  3.50000E-004	  8.44545E+001	  8.06337E+001	  8.50345E+001	  8.57897E+001	  8.87317E+001	  8.10183E+001	  9.16089E+001	  8.86970E+001	  8.96574E+001	  7.24883E+001	  8.08857E+001	
  3.75000E-004	  9.13213E+001	  7.78897E+001	  9.49353E+001	  8.48182E+001	  9.00322E+001	  9.07664E+001	  1.01454E+002	  9.82984E+001	  9.98074E+001	  8.13959E+001	  9.38150E+001	
  4.00000E-004	  8.73996E+001	  8.18342E+001	  9.35697E+001	  9.11331E+001	  8.75938E+001	  9.04303E+001	  9.20704E+001	  9.21080E+001	  8.44671E+001	  7.89463E+001	  8.18435E+001	
