ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:18:10"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301205
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     104.93505
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 103.612"	" 2, 103.605"	" 3, 103.657"	" 4, 104.483"	" 5, 104.918"	" 6, 104.651"	" 7, 104.407"	" 8, 104.888"	" 9, 105.270"	"10, 104.935"	
  2.50000E-005	  1.02765E+002	  1.02468E+002	  1.02886E+002	  1.03074E+002	  1.02479E+002	  1.02302E+002	  1.02715E+002	  1.03249E+002	  1.02874E+002	  1.02603E+002	  1.03003E+002	
  5.00000E-005	  9.28020E+001	  9.23264E+001	  9.28005E+001	  9.29864E+001	  9.25909E+001	  9.24288E+001	  9.27390E+001	  9.32550E+001	  9.29769E+001	  9.27902E+001	  9.31260E+001	
  7.50000E-005	  6.93898E+001	  6.90461E+001	  6.94069E+001	  6.95534E+001	  6.91331E+001	  6.90603E+001	  6.92780E+001	  6.97278E+001	  6.95352E+001	  6.94100E+001	  6.97475E+001	
  1.00000E-004	  2.01438E+001	  2.01302E+001	  2.02482E+001	  2.02095E+001	  2.01124E+001	  2.00641E+001	  2.01130E+001	  2.01860E+001	  2.01835E+001	  2.00774E+001	  2.01142E+001	
  1.25000E-004	  6.63723E+000	  6.62017E+000	  6.65057E+000	  6.64060E+000	  6.67117E+000	  6.59202E+000	  6.59422E+000	  6.64387E+000	  6.60848E+000	  6.69241E+000	  6.65882E+000	
  1.50000E-004	  2.63042E+000	  2.66727E+000	  2.63287E+000	  2.62628E+000	  2.64492E+000	  2.68514E+000	  2.60091E+000	  2.58291E+000	  2.62580E+000	  2.59279E+000	  2.64529E+000	
  1.75000E-004	  2.07851E+000	  2.12023E+000	  2.13260E+000	  2.06307E+000	  2.10659E+000	  2.07638E+000	  2.05274E+000	  2.06753E+000	  2.02669E+000	  2.07463E+000	  2.06459E+000	
  2.00000E-004	  1.95328E+000	  2.01599E+000	  2.03369E+000	  1.96066E+000	  1.98856E+000	  1.95800E+000	  1.89393E+000	  1.90027E+000	  1.91253E+000	  1.93513E+000	  1.93401E+000	
  2.25000E-004	  1.55644E+000	  1.64152E+000	  1.65233E+000	  1.55535E+000	  1.57791E+000	  1.55693E+000	  1.51639E+000	  1.54408E+000	  1.49754E+000	  1.53926E+000	  1.48305E+000	
  2.50000E-004	  1.50022E+000	  1.65034E+000	  1.61120E+000	  1.51873E+000	  1.52452E+000	  1.46544E+000	  1.44648E+000	  1.46956E+000	  1.41720E+000	  1.44755E+000	  1.45119E+000	
  2.75000E-004	  1.73568E+000	  2.09426E+000	  1.97056E+000	  1.78525E+000	  1.76949E+000	  1.67701E+000	  1.61102E+000	  1.66987E+000	  1.60461E+000	  1.58729E+000	  1.58746E+000	
  3.00000E-004	  2.28614E+000	  3.04434E+000	  2.71575E+000	  2.48253E+000	  2.35584E+000	  2.18919E+000	  2.12801E+000	  2.06998E+000	  2.01363E+000	  1.94705E+000	  1.91512E+000	
  3.25000E-004	  2.96954E+000	  4.13321E+000	  3.69380E+000	  3.34465E+000	  3.08233E+000	  2.87320E+000	  2.69871E+000	  2.63491E+000	  2.50017E+000	  2.38757E+000	  2.34683E+000	
  3.50000E-004	  3.52449E+000	  4.94911E+000	  4.39861E+000	  3.98656E+000	  3.71474E+000	  3.44051E+000	  3.24286E+000	  3.07344E+000	  2.97182E+000	  2.77790E+000	  2.68938E+000	
  3.75000E-004	  3.85237E+000	  5.24729E+000	  4.74939E+000	  4.37362E+000	  4.06223E+000	  3.80984E+000	  3.60043E+000	  3.40051E+000	  3.26105E+000	  3.04715E+000	  2.97222E+000	
  4.00000E-004	  3.41371E+000	  4.48835E+000	  4.15903E+000	  3.86292E+000	  3.59726E+000	  3.41519E+000	  3.22368E+000	  3.06182E+000	  2.93574E+000	  2.73367E+000	  2.65947E+000	
  4.50000E-004	  1.95369E+000	  2.06656E+000	  2.08538E+000	  2.04513E+000	  2.00200E+000	  1.99659E+000	  1.94246E+000	  1.92504E+000	  1.92346E+000	  1.78336E+000	  1.76692E+000	
  5.00000E-004	  1.18282E+000	  1.24438E+000	  1.22121E+000	  1.20448E+000	  1.16133E+000	  1.18669E+000	  1.16393E+000	  1.17927E+000	  1.18626E+000	  1.13034E+000	  1.15030E+000	
  5.50000E-004	  1.04138E+000	  1.11094E+000	  1.09403E+000	  1.06334E+000	  1.03738E+000	  1.06558E+000	  1.01517E+000	  1.02063E+000	  1.00520E+000	  9.90054E-001	  1.01149E+000	
  6.00000E-004	  9.48686E-001	  1.00472E+000	  9.90027E-001	  9.63902E-001	  9.54111E-001	  9.54895E-001	  9.32596E-001	  9.43789E-001	  9.35300E-001	  8.99422E-001	  9.08104E-001	
  6.50000E-004	  8.74193E-001	  9.51478E-001	  8.98074E-001	  8.86751E-001	  8.92959E-001	  8.82496E-001	  8.65978E-001	  8.80346E-001	  8.44218E-001	  8.16192E-001	  8.23434E-001	
  7.00000E-004	  7.96936E-001	  8.63452E-001	  8.29545E-001	  8.11152E-001	  8.17512E-001	  8.09672E-001	  7.76342E-001	  7.89495E-001	  7.85980E-001	  7.31759E-001	  7.54450E-001	
  7.50000E-004	  7.23678E-001	  7.75551E-001	  7.37157E-001	  7.40208E-001	  7.53366E-001	  7.22612E-001	  7.17944E-001	  7.09289E-001	  7.01980E-001	  6.89933E-001	  6.88737E-001	
  8.00000E-004	  6.58234E-001	  7.12125E-001	  6.85092E-001	  6.65912E-001	  6.77155E-001	  6.56606E-001	  6.39969E-001	  6.47283E-001	  6.40262E-001	  6.24186E-001	  6.33745E-001	
  9.00000E-004	  5.70251E-001	  5.94685E-001	  6.16283E-001	  5.81034E-001	  5.80693E-001	  5.60457E-001	  5.82150E-001	  5.55056E-001	  5.59039E-001	  5.43514E-001	  5.29602E-001	
  1.00000E-003	  5.18146E-001	  5.41260E-001	  5.51730E-001	  5.49845E-001	  5.21954E-001	  5.04204E-001	  5.22505E-001	  5.01585E-001	  4.99061E-001	  4.92631E-001	  4.96685E-001	
  1.10000E-003	  4.77241E-001	  5.10044E-001	  4.97615E-001	  4.98266E-001	  5.01764E-001	  4.77638E-001	  4.51411E-001	  4.62461E-001	  4.63196E-001	  4.43253E-001	  4.66766E-001	
  1.20000E-003	  4.27302E-001	  4.52271E-001	  4.41387E-001	  4.32070E-001	  4.37313E-001	  4.43528E-001	  4.07658E-001	  4.14466E-001	  4.18388E-001	  4.08468E-001	  4.17466E-001	
  1.30000E-003	  3.90439E-001	  4.10122E-001	  4.05911E-001	  4.03084E-001	  3.93450E-001	  3.98089E-001	  3.86102E-001	  3.65920E-001	  3.90306E-001	  3.66582E-001	  3.84821E-001	
  1.40000E-003	  3.64008E-001	  3.87914E-001	  3.69968E-001	  3.91260E-001	  3.63974E-001	  3.67100E-001	  3.62627E-001	  3.57141E-001	  3.53495E-001	  3.52440E-001	  3.34159E-001	
  1.50000E-003	  3.55969E-001	  3.71980E-001	  3.80499E-001	  3.77264E-001	  3.56246E-001	  3.72553E-001	  3.31723E-001	  3.34015E-001	  3.34235E-001	  3.55479E-001	  3.45696E-001	
  1.60000E-003	  3.54234E-001	  3.72710E-001	  3.84973E-001	  3.73633E-001	  3.53222E-001	  3.57619E-001	  3.48210E-001	  3.37427E-001	  3.27887E-001	  3.49912E-001	  3.36749E-001	
  1.80000E-003	  3.60986E-001	  3.95741E-001	  3.74457E-001	  3.76581E-001	  3.64187E-001	  3.64147E-001	  3.57938E-001	  3.42688E-001	  3.51253E-001	  3.43939E-001	  3.38929E-001	
