ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"11:27:44"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   3021421
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      25.12985
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  25.057"	" 2,  24.806"	" 3,  25.085"	" 4,  25.129"	" 5,  25.101"	" 6,  25.038"	" 7,  25.553"	" 8,  25.246"	" 9,  25.264"	"10,  25.130"	
  2.50000E-005	  4.45312E+002	  4.46498E+002	  4.50479E+002	  4.46298E+002	  4.45465E+002	  4.47009E+002	  4.48549E+002	  4.38641E+002	  4.42953E+002	  4.42901E+002	  4.44332E+002	
  5.00000E-005	  4.04986E+002	  4.06468E+002	  4.09954E+002	  4.05855E+002	  4.05701E+002	  4.04999E+002	  4.06964E+002	  3.98651E+002	  4.03697E+002	  4.02509E+002	  4.05057E+002	
  7.50000E-005	  3.02103E+002	  3.03151E+002	  3.04681E+002	  3.01668E+002	  3.02548E+002	  3.02500E+002	  3.03017E+002	  2.97860E+002	  3.02070E+002	  3.01666E+002	  3.01869E+002	
  1.00000E-004	  8.54306E+001	  8.50483E+001	  8.60336E+001	  8.47574E+001	  8.61217E+001	  8.55496E+001	  8.62728E+001	  8.46256E+001	  8.51698E+001	  8.51019E+001	  8.56256E+001	
  1.25000E-004	  2.80413E+001	  2.79533E+001	  2.77005E+001	  2.75978E+001	  2.82856E+001	  2.81237E+001	  2.81959E+001	  2.83386E+001	  2.80116E+001	  2.82091E+001	  2.79970E+001	
  1.50000E-004	  9.33684E+000	  9.02499E+000	  9.20048E+000	  9.03001E+000	  9.44480E+000	  9.52787E+000	  9.39155E+000	  9.69605E+000	  9.31416E+000	  9.31107E+000	  9.42743E+000	
  1.75000E-004	  6.97502E+000	  6.81137E+000	  6.88121E+000	  6.86800E+000	  6.89961E+000	  7.22880E+000	  7.03409E+000	  7.03225E+000	  6.81228E+000	  7.14395E+000	  7.03865E+000	
  2.00000E-004	  6.09579E+000	  5.97649E+000	  6.02936E+000	  5.96929E+000	  6.34199E+000	  6.16607E+000	  6.05110E+000	  6.21513E+000	  6.00441E+000	  6.10532E+000	  6.09876E+000	
  2.25000E-004	  5.17233E+000	  4.93979E+000	  5.03879E+000	  5.02182E+000	  5.37671E+000	  5.22611E+000	  5.24046E+000	  5.41232E+000	  5.02523E+000	  5.16700E+000	  5.27504E+000	
  2.50000E-004	  4.75612E+000	  4.75072E+000	  4.65080E+000	  4.73991E+000	  4.78530E+000	  4.74767E+000	  4.76812E+000	  4.78722E+000	  4.71646E+000	  4.88279E+000	  4.73224E+000	
