ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"11:20:34"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2801695
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     291.36756
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 295.683"	" 2, 293.319"	" 3, 292.828"	" 4, 289.874"	" 5, 291.385"	" 6, 292.634"	" 7, 293.082"	" 8, 292.391"	" 9, 292.877"	"10, 291.368"	
  2.50000E-005	  3.84905E+001	  3.80703E+001	  3.83818E+001	  3.84319E+001	  3.88277E+001	  3.86508E+001	  3.84769E+001	  3.84454E+001	  3.85251E+001	  3.84611E+001	  3.86344E+001	
  5.00000E-005	  3.53131E+001	  3.49141E+001	  3.52064E+001	  3.52710E+001	  3.56450E+001	  3.54622E+001	  3.53066E+001	  3.52619E+001	  3.53251E+001	  3.52755E+001	  3.54636E+001	
  7.50000E-005	  2.72237E+001	  2.69422E+001	  2.71895E+001	  2.71935E+001	  2.74483E+001	  2.73170E+001	  2.72022E+001	  2.71833E+001	  2.72358E+001	  2.72070E+001	  2.73180E+001	
  1.00000E-004	  7.92325E+000	  7.84580E+000	  7.90889E+000	  7.91061E+000	  7.99415E+000	  7.96284E+000	  7.90547E+000	  7.92151E+000	  7.92043E+000	  7.91978E+000	  7.94299E+000	
  1.25000E-004	  2.54485E+000	  2.51880E+000	  2.54563E+000	  2.54990E+000	  2.56945E+000	  2.54814E+000	  2.54747E+000	  2.53389E+000	  2.54208E+000	  2.53196E+000	  2.56113E+000	
  1.50000E-004	  8.44852E-001	  8.34698E-001	  8.53401E-001	  8.43950E-001	  8.54124E-001	  8.43482E-001	  8.47246E-001	  8.43545E-001	  8.45035E-001	  8.32092E-001	  8.50946E-001	
  1.75000E-004	  6.30912E-001	  6.21838E-001	  6.40547E-001	  6.32463E-001	  6.36036E-001	  6.32709E-001	  6.33690E-001	  6.25967E-001	  6.30417E-001	  6.22263E-001	  6.33188E-001	
  2.00000E-004	  5.54026E-001	  5.52180E-001	  5.63834E-001	  5.51352E-001	  5.59785E-001	  5.46700E-001	  5.62774E-001	  5.45144E-001	  5.56376E-001	  5.49055E-001	  5.53060E-001	
  2.25000E-004	  4.83643E-001	  4.83383E-001	  4.95397E-001	  4.83697E-001	  4.83168E-001	  4.77893E-001	  4.83043E-001	  4.75237E-001	  4.90597E-001	  4.79439E-001	  4.84575E-001	
  2.50000E-004	  4.39194E-001	  4.33237E-001	  4.55866E-001	  4.37268E-001	  4.43988E-001	  4.33137E-001	  4.42562E-001	  4.30501E-001	  4.44463E-001	  4.33147E-001	  4.37771E-001	
  2.75000E-004	  4.12390E-001	  4.09531E-001	  4.22418E-001	  4.16387E-001	  4.17196E-001	  4.07970E-001	  4.10180E-001	  4.06696E-001	  4.19315E-001	  4.04939E-001	  4.09270E-001	
  3.00000E-004	  4.02457E-001	  3.99637E-001	  4.14250E-001	  3.98639E-001	  4.14175E-001	  4.04184E-001	  3.98530E-001	  3.96184E-001	  4.02665E-001	  3.94008E-001	  4.02295E-001	
  3.25000E-004	  4.12986E-001	  4.12389E-001	  4.18606E-001	  4.16042E-001	  4.24374E-001	  4.17443E-001	  4.11364E-001	  4.07240E-001	  4.07837E-001	  3.97942E-001	  4.16623E-001	
  3.50000E-004	  4.33114E-001	  4.40873E-001	  4.46983E-001	  4.38709E-001	  4.38201E-001	  4.34048E-001	  4.28248E-001	  4.27690E-001	  4.27009E-001	  4.18001E-001	  4.31376E-001	
  3.75000E-004	  4.68484E-001	  4.77023E-001	  4.80804E-001	  4.73453E-001	  4.74344E-001	  4.72394E-001	  4.72638E-001	  4.58995E-001	  4.63147E-001	  4.50127E-001	  4.61919E-001	
  4.00000E-004	  4.84848E-001	  4.93639E-001	  4.92107E-001	  4.87825E-001	  4.85598E-001	  4.89471E-001	  4.87475E-001	  4.79561E-001	  4.82666E-001	  4.73530E-001	  4.76609E-001	
